year,province,จำนวนวันที่ฝนตก,ปริมาณน้ำฝน,%ความชื้นสัมพัทธ์,อุณหภูมิสูงสุด,อุณหภูมิต่ำสุด,อุณหภูมิเฉลี่ย,ผู้เสียชีวิต,%การเสียชีวิต,ผู้ป่วย,latitude,longitude
2017,Saraburi,0,0,0,0,0,0,1,0.32,315,14.3,100.55
2018,Saraburi,0,0,0,0,0,0,0,0,860,14.3,100.55
2019,Saraburi,0,0,0,0,0,0,0,0,1444,14.3,100.55
2020,Saraburi,0,0,0,0,0,0,1,0.09,1068,14.3,100.55
2016,Satun,170,1940,77.9,39.6,22.2,28.5,0,0,696,6.43,100.2
2017,Satun,201,3039,80.7,35.8,20,27.7,1,0.07,1404,6.43,100.2
2018,Satun,178,2224.6,79.8,37.3,19.8,27.8,0,0,1226,6.43,100.2
2019,Satun,149,1905.7,78,36.4,20.4,28.1,0,0,2017,6.43,100.2
2020,Satun,189,2430.1,0,0,20.5,0,0,0,539,6.43,100.2
2016,Si Sa Ket,113,1310.6,72.7,42.3,11.4,27.9,0,0,2480,15.8,104.23
2017,Si Sa Ket,129,1663.4,75,39.8,12.5,27.5,0,0,639,15.8,104.23
2018,Si Sa Ket,131,1435.6,74.3,40.3,12.1,27.5,1,0.06,1644,15.8,104.23
2019,Si Sa Ket,104,1194.3,73.4,40.5,12.8,28.2,2,0.08,2631,15.8,104.23
2020,Si Sa Ket,98,1572.4,0,0,14,0,0,0,1481,15.8,104.23
2016,Sing Buri,0,0,0,0,0,0,0,0,12,14.53,100.25
2017,Sing Buri,0,0,0,0,0,0,0,0,128,14.53,100.25
2018,Sing Buri,0,0,0,0,0,0,0,0,115,14.53,100.25
2019,Sing Buri,0,0,0,0,0,0,1,0.34,293,14.53,100.25
2020,Sing Buri,0,0,0,0,0,0,4,0.51,790,14.53,100.25
2016,Songkhla,149,2191.5,77.2,37.3,22.1,28.6,0,0,11000,7.13,100.37
2017,Songkhla,193,3424.7,79.9,36,22.6,27.9,16,0.22,7314,7.13,100.37
2018,Songkhla,155,1989.7,80.3,36.3,21.2,28,2,0.11,1752,7.13,100.37
2019,Songkhla,146,1370.8,76.8,36.9,21.6,28.5,1,0.03,3291,7.13,100.37
2020,Songkhla,173,2764.2,0,0,22.8,0,1,0.05,1849,7.13,100.37
2016,Sukhothai,104,1272,74.7,44.5,11.1,28.5,0,0,624,17.0076,99.8264
2017,Sukhothai,121,1694.3,78.1,41.2,11.2,28.2,0,0,300,17.0076,99.8264
2018,Sukhothai,89,880.1,78.2,40.5,15.7,28,0,0,817,17.0076,99.8264
2019,Sukhothai,79,736.2,74.2,42.5,11.3,28.9,0,0,833,17.0076,99.8264
2020,Sukhothai,85,841.5,0,0,14.1,0,0,0,620,17.0076,99.8264
2016,Suphan Buri,97,1090.9,71.8,42.2,13.5,29.2,0,0,710,14.4745,100.1177
2017,Suphan Buri,111,1357.9,75.5,40.3,14.4,28.7,1,0.13,761,14.4745,100.1177
2018,Suphan Buri,97,863.2,74.6,39.6,16.4,28.6,2,0.12,1608,14.4745,100.1177
2019,Suphan Buri,78,513.2,71.4,41,15.3,29.4,2,0.11,1750,14.4745,100.1177
2020,Suphan Buri,79,850.8,0,0,17.3,0,1,0.08,1238,14.4745,100.1177
2016,Surat Thani,156,1447.2,82.6,41.4,19.6,27.6,0,0,1056,9.6,99.2
2017,Surat Thani,185,1631.8,84.8,37.5,18.5,27.1,3,0.14,2190,9.6,99.2
2018,Surat Thani,163,1611.8,85,37.5,18.4,27.1,2,0.05,3895,9.6,99.2
2019,Surat Thani,143,1233.1,82.9,39.5,20.1,27.4,2,0.06,3441,9.6,99.2
2020,Surat Thani,160,2060.2,0,0,18.7,0,1,0.04,2490,9.6,99.2
2016,Surin,100,1406.2,70.6,42,8,28.2,0,0,4460,14.5,103.34
2017,Surin,129,1512,73.4,39.1,11.5,27.5,0,0,1728,14.5,103.34
2018,Surin,111,1125.1,72.4,39.2,11.8,27.5,1,0.05,2063,14.5,103.34
2019,Surin,108,1194.2,69.4,40.8,11.6,28.3,2,0.06,3600,14.5,103.34
2020,Surin,110,1391.2,0,0,11.1,0,0,0,2834,14.5,103.34
2016,Tak,0,1150.5,67.7,43.8,9.2,28.4,0,0,1408,16.52,99.8
2017,Tak,115,1402.7,72.8,42.2,9.8,27.9,0,0,1044,16.52,99.8
2018,Tak,110,926.7,73.5,41,13.9,27.7,1,0.08,1178,16.52,99.8
2019,Tak,93,871.6,67.3,43.2,9.3,28.6,2,0.2,1022,16.52,99.8
2020,Tak,97,862.8,0,0,13.7,0,1,0.15,673,16.52,99.8
2016,Trang,174,2559.8,79.6,40.3,20.2,28.1,0,0,1554,7.33,99.38
2017,Trang,220,3221.6,82.7,37,20.3,27.4,1,0.04,2815,7.33,99.38
2018,Trang,171,2143.2,81,36.9,19.4,27.6,1,0.03,3438,7.33,99.38
2019,Trang,163,2035.5,79.9,38,20.3,27.8,0,0,4342,7.33,99.38
2020,Trang,192,2214.6,0,0,20.6,0,3,0.09,3211,7.33,99.38
2016,Trat,193,5669.6,82.2,35.7,15.3,28,0,0,476,12.2428,102.5175
2017,Trat,197,4530.6,81.6,35.5,19.1,27.6,0,0,62,12.2428,102.5175
2018,Trat,208,4800.4,82.8,35.2,17.8,27.6,0,0,232,12.2428,102.5175
2019,Trat,185,5287.3,81,35.8,18.2,27.9,0,0,793,12.2428,102.5175
2020,Trat,191,3504.3,0,0,20,0,1,0.32,311,12.2428,102.5175
2016,Ubon Ratchathani,0,1905.8,69.9,42.6,11.5,28.2,0,0,4310,15.15,104.5
2017,Ubon Ratchathani,141,1794.9,71.4,39.7,12.2,27.7,0,0,1349,15.15,104.5
2018,Ubon Ratchathani,126,1731.6,71.1,39.1,11.8,27.6,2,0.09,2239,15.15,104.5
2019,Ubon Ratchathani,108,1697.7,68.5,40.6,13.7,28.5,9,0.16,5523,15.15,104.5
2020,Ubon Ratchathani,111,1595.1,0,0,14.2,0,3,0.14,2092,15.15,104.5
2016,Udon Thani,0,1477,70.9,42.4,7.8,27.5,0,0,352,17.29,102.46
2017,Udon Thani,126,1860.2,73.6,39.9,8.3,27,1,0.1,998,17.29,102.46
2018,Udon Thani,125,1423.7,73.9,39.1,11.6,27,1,0.06,1542,17.29,102.46
2019,Udon Thani,106,1285.7,69.6,42.5,8.5,27.9,3,0.12,2475,17.29,102.46
2020,Udon Thani,100,1217.8,0,0,12.1,0,1,0.04,2450,17.29,102.46
2016,Uthai Thani,0,0,0,0,0,0,0,0,342,15.3835,100.0246
2017,Uthai Thani,0,0,0,0,0,0,1,0.88,114,15.3835,100.0246
2018,Uthai Thani,0,0,0,0,0,0,0,0,590,15.3835,100.0246
2019,Uthai Thani,0,0,0,0,0,0,0,0,1004,15.3835,100.0246
2020,Uthai Thani,0,0,0,0,0,0,0,0,621,15.3835,100.0246
2016,Uttaradit,112,1355.8,68.1,43.6,10.4,28.5,0,0,466,17.36,100.5
2017,Uttaradit,118,1552.1,72.9,40,12,28,0,0,329,17.36,100.5
2018,Uttaradit,116,1329.9,72.9,40,16.5,27.9,0,0,405,17.36,100.5
2019,Uttaradit,77,842.8,67.5,43,13,28.8,1,0.15,646,17.36,100.5
2020,Uttaradit,86,1086.1,0,0,14,0,1,0.17,575,17.36,100.5
2016,Yala,145,1715,79.4,40.1,20,27.8,0,0,1690,6.5411,101.2804
2017,Yala,199,3667,82.6,36.8,20.8,27,4,0.09,4350,6.5411,101.2804
2018,Yala,149,2240.3,81.9,37.5,17.4,27.1,0,0,623,6.5411,101.2804
2019,Yala,173,2097.2,81,38.9,18,27.4,0,0,2237,6.5411,101.2804
2020,Yala,180,3177.9,0,0,18.6,0,4,0.31,1308,6.5411,101.2804
2016,Yasothon,0,0,0,0,0,0,0,0,686,15.5,104.1
2017,Yasothon,0,0,0,0,0,0,0,0,219,15.5,104.1
2018,Yasothon,0,0,0,0,0,0,0,0,483,15.5,104.1
2019,Yasothon,0,0,0,0,0,0,0,0,777,15.5,104.1
2020,Yasothon,0,0,0,0,0,0,0,0,456,15.5,104.1
