year,province,จำนวนวันที่ฝนตก,ปริมาณน้ำฝน,%ความชื้นสัมพัทธ์,อุณหภูมิสูงสุด,อุณหภูมิต่ำสุด,อุณหภูมิเฉลี่ย,ผู้เสียชีวิต,%การเสียชีวิต,ผู้ป่วย,latitude,longitude
2020,Kalasin,107,1036.1,0,0,11.1,0,1,0.06,1604,16.26,103.3
2016,Kamphaeng Phet,125,1168.9,70.2,44,10.5,28.5,0,0,352,16.28,99.3
2017,Kamphaeng Phet,145,1863.8,74,39.3,11.9,28,0,0,592,16.28,99.3
2018,Kamphaeng Phet,136,1129.6,73.9,39.4,15.2,27.9,0,0,1271,16.28,99.3
2019,Kamphaeng Phet,100,1041.7,70.1,42,11.4,28.6,0,0,938,16.28,99.3
2020,Kamphaeng Phet,104,660.9,0,0,14.2,0,0,0,406,16.28,99.3
2016,Kanchanaburi,0,1194.8,68,43.5,12.3,29.3,0,0,392,14.02,99.31
2017,Kanchanaburi,116,1230.5,70.1,41,13.9,28.8,0,0,532,14.02,99.31
2018,Kanchanaburi,121,769.2,71.9,41.3,16.5,28.6,3,0.2,1530,14.02,99.31
2019,Kanchanaburi,87,687.4,67.2,42.5,14.1,29.3,1,0.04,2554,14.02,99.31
2020,Kanchanaburi,98,1148.3,0,0,15.5,0,1,0.07,1491,14.02,99.31
2016,Khon Kaen,124,1368.1,71.3,42.4,9.5,27.7,0,0,1600,16.3,102.47
2017,Khon Kaen,141,1426.6,72.5,39.6,10.1,27.1,0,0,952,16.3,102.47
2018,Khon Kaen,112,1304.8,71.7,39.3,11.7,27,0,0,1758,16.3,102.47
2019,Khon Kaen,96,1068.6,67.2,41.5,11.1,28.4,5,0.1,5255,16.3,102.47
2020,Khon Kaen,110,1280.7,0,0,13.5,0,3,0.07,4595,16.3,102.47
2016,Krabi,175,2348,82.5,39.2,18.2,27.4,0,0,1128,8.04,98.55
2017,Krabi,187,2711.2,84.9,36.6,18,26.8,0,0,1093,8.04,98.55
2018,Krabi,172,2203.4,82.9,38.7,17.8,27,1,0.04,2756,8.04,98.55
2019,Krabi,145,1474.1,80.1,38.8,20,27.4,1,0.05,1943,8.04,98.55
2020,Krabi,183,2267.6,0,0,20.5,0,1,0.11,874,8.04,98.55
2016,Lampang,119,1096.2,72.9,43.5,9.1,27.2,0,0,1496,18.16,99.32
2017,Lampang,127,1511.6,75.1,41.3,8,26.9,0,0,213,18.16,99.32
2018,Lampang,116,1170.2,75.4,40.3,12.9,26.8,0,0,185,18.16,99.32
2019,Lampang,100,1238.9,69,43.1,8.5,27.7,0,0,491,18.16,99.32
2020,Lampang,93,951.4,0,0,8.5,0,1,0.21,479,18.16,99.32
2016,Lamphun,117,1313.4,72,44,9.2,27.2,0,0,1072,18.4,99.02
2017,Lamphun,126,1489.5,74.7,40.4,8.2,26.8,1,0.37,271,18.4,99.02
2018,Lamphun,104,1121.2,74.8,39.8,11.5,26.6,0,0,634,18.4,99.02
2019,Lamphun,91,923.5,69.5,42.2,9,27.2,0,0,690,18.4,99.02
2020,Lamphun,91,1061.8,0,0,9,0,3,0.44,676,18.4,99.02
2016,Loei,129,1406.9,72.4,43,6.5,26.5,0,0,1376,17.29,101.35
2017,Loei,124,1522,75.4,39.9,7,26.2,0,0,454,17.29,101.35
2018,Loei,124,1073.7,76.5,39.7,12.1,26.1,0,0,479,17.29,101.35
2019,Loei,95,624.9,69.3,43.4,6.8,27.3,2,0.11,1862,17.29,101.35
2020,Loei,111,1121.8,0,0,11.4,0,0,0,1256,17.29,101.35
2016,Lop Buri,0,1123.1,69.5,41.5,14.6,29.2,0,0,870,14.48,100.37
2017,Lop Buri,113,1282.4,71.4,40.5,15.1,28.7,0,0,372,14.48,100.37
2018,Lop Buri,109,1281.4,72.6,37.9,17.4,28.6,1,0.13,782,14.48,100.37
2019,Lop Buri,84,790.1,68.4,36.5,17,29.3,0,0,1514,14.48,100.37
2020,Lop Buri,87,904.4,0,0,18,0,2,0.12,1606,14.48,100.37
2016,Mae Hong Son,131,1119.8,74.6,44.6,10,26.7,0,0,2268,19.16,97.56
2017,Mae Hong Son,144,1285,76.2,42,7.8,26.5,0,0,344,19.16,97.56
2018,Mae Hong Son,149,1169.1,77,40.9,8.4,25.9,0,0,420,19.16,97.56
2019,Mae Hong Son,118,1135.4,73,43.2,-,26.4,0,0,283,19.16,97.56
2020,Mae Hong Son,117,977.6,0,0,8.2,0,0,0,624,19.16,97.56
2016,Maha Sarakham,106,1728.9,71.9,42.5,9.5,28.2,0,0,1232,16.12,103.16
2017,Maha Sarakham,125,1890.8,73.9,39.8,9.7,27.6,0,0,893,16.12,103.16
2018,Maha Sarakham,102,1225.1,73.3,40.3,11.6,27.5,0,0,1058,16.12,103.16
2019,Maha Sarakham,75,1228.2,69.7,43.3,11.5,28.6,0,0,2170,16.12,103.16
2020,Maha Sarakham,98,1265.2,0,0,12.5,0,1,0.04,2509,16.12,103.16
2016,Mukdahan,115,1307.7,70.5,42.3,10.5,27.6,0,0,886,16.32,104.43
2017,Mukdahan,132,2056.8,73.6,39.5,11.6,26.8,0,0,276,16.32,104.43
2018,Mukdahan,116,1929,73.3,39.6,11.5,26.8,0,0,169,16.32,104.43
2019,Mukdahan,90,1587,70.5,41.6,12.2,27.9,1,0.18,566,16.32,104.43
2020,Mukdahan,105,1166,0,0,13.2,0,0,0,290,16.32,104.43
2016,Nakhon Nayok,0,0,0,0,0,0,0,0,158,14.12,101.13
2017,Nakhon Nayok,0,0,0,0,0,0,0,0,131,14.12,101.13
2018,Nakhon Nayok,0,0,0,0,0,0,1,0.12,868,14.12,101.13
2019,Nakhon Nayok,0,0,0,0,0,0,0,0,872,14.12,101.13
2020,Nakhon Nayok,0,0,0,0,0,0,0,0,309,14.12,101.13
2016,Nakhon Pathom,99,789.7,76.1,41.4,11,28.5,0,0,1508,13.49,100.03
2017,Nakhon Pathom,117,1228,78.3,38.8,13.5,28,1,0.17,580,13.49,100.03
2018,Nakhon Pathom,117,1043,80.1,38.9,15.6,27.8,1,0.05,1950,13.49,100.03
2019,Nakhon Pathom,87,694.1,76.2,40.5,14.2,28.5,0,0,1919,13.49,100.03
2020,Nakhon Pathom,94,1207.7,0,0,14,0,1,0.11,896,13.49,100.03
2016,Nakhon Phanom,136,2254.9,70.8,41.4,8.2,27.1,0,0,814,17.23,104.43
2017,Nakhon Phanom,145,2663.9,72.3,38.5,9.5,26.5,0,0,397,17.23,104.43
2018,Nakhon Phanom,131,2666.9,71.7,38.9,10.9,26.6,2,0.42,477,17.23,104.43
2019,Nakhon Phanom,127,2178.1,70,40.2,10.8,27.6,0,0,1624,17.23,104.43
2020,Nakhon Phanom,112,1297.2,0,0,10.9,0,0,0,645,17.23,104.43
2016,Nakhon Ratchasima,0,1090.1,70.5,43.2,12,28.4,0,0,3262,14.59,102.12
2017,Nakhon Ratchasima,113,1652.8,74.1,39.6,12.8,27.7,2,0.1,2008,14.59,102.12
2018,Nakhon Ratchasima,115,962.3,75.7,39.4,13.5,27.8,3,0.11,2741,14.59,102.12
2019,Nakhon Ratchasima,84,639,69.2,41.9,13.5,28.8,8,0.1,8155,14.59,102.12
2020,Nakhon Ratchasima,114,1457,0,0,14.4,0,8,0.11,6991,14.59,102.12
2016,Nakhon Sawan,0,1538.8,71.4,43.7,10.4,29.1,0,0,1236,15.35,100.1
2017,Nakhon Sawan,130,1760.5,75.3,41.2,11.5,28.5,0,0,381,15.35,100.1
2018,Nakhon Sawan,111,883.8,74.5,40.3,15.9,28.6,5,0.27,1836,15.35,100.1
2019,Nakhon Sawan,94,975.4,71.4,42.5,12.4,29.3,2,0.12,1735,15.35,100.1
2020,Nakhon Sawan,92,803.8,0,0,15.4,0,1,0.09,1132,15.35,100.1
