,year,Province,AgeGroup,ag_0-4,ag_5-9,ag_10-14,ag_15-24,ag_25-34,ag_35-59,ag_60,patient_count,humidity,temp_avg,temp_min,temp_max,rain_ml,rain_day,cluster
108,2016,Maha Sarakham,25-34,0,0,0,0,1,0,0,82,71.9,28.2,9.5,42.5,1728.9,106,3
109,2016,Phetchabun,0-4,1,0,0,0,0,0,0,108,71.5,28.2,9.5,43.3,1039.2,119,1
110,2016,Maha Sarakham,0-4,1,0,0,0,0,0,0,110,71.9,28.2,9.5,42.5,1728.9,106,3
111,2016,Maha Sarakham,35-59,0,0,0,0,0,1,0,120,71.9,28.2,9.5,42.5,1728.9,106,3
112,2016,Khon Kaen,0-4,1,0,0,0,0,0,0,134,71.3,27.7,9.5,42.4,1368.1,124,3
113,2016,Khon Kaen,25-34,0,0,0,0,1,0,0,164,71.3,27.7,9.5,42.4,1368.1,124,3
114,2016,Khon Kaen,35-59,0,0,0,0,0,1,0,172,71.3,27.7,9.5,42.4,1368.1,124,3
115,2016,Maha Sarakham,14-Oct,0,0,1,0,0,0,0,234,71.9,28.2,9.5,42.5,1728.9,106,3
116,2016,Phetchabun,9-May,0,1,0,0,0,0,0,264,71.5,28.2,9.5,43.3,1039.2,119,1
117,2016,Phetchabun,25-34,0,0,0,0,1,0,0,292,71.5,28.2,9.5,43.3,1039.2,119,1
118,2016,Maha Sarakham,9-May,0,1,0,0,0,0,0,294,71.9,28.2,9.5,42.5,1728.9,106,3
119,2016,Khon Kaen,9-May,0,1,0,0,0,0,0,304,71.3,27.7,9.5,42.4,1368.1,124,3
120,2016,Phetchabun,35-59,0,0,0,0,0,1,0,304,71.5,28.2,9.5,43.3,1039.2,119,1
121,2016,Phetchabun,14-Oct,0,0,1,0,0,0,0,316,71.5,28.2,9.5,43.3,1039.2,119,1
122,2016,Khon Kaen,14-Oct,0,0,1,0,0,0,0,358,71.3,27.7,9.5,42.4,1368.1,124,3
123,2016,Maha Sarakham,15-24,0,0,0,1,0,0,0,358,71.9,28.2,9.5,42.5,1728.9,106,3
124,2016,Khon Kaen,15-24,0,0,0,1,0,0,0,436,71.3,27.7,9.5,42.4,1368.1,124,3
125,2016,Phetchabun,15-24,0,0,0,1,0,0,0,436,71.5,28.2,9.5,43.3,1039.2,119,1
126,2016,Phrae,0-4,1,0,0,0,0,0,0,10,73.2,27.5,9.8,43.3,1342.6,126,3
127,2016,Phrae,60,0,0,0,0,0,0,1,14,73.2,27.5,9.8,43.3,1342.6,126,3
128,2016,Phrae,9-May,0,1,0,0,0,0,0,26,73.2,27.5,9.8,43.3,1342.6,126,3
129,2016,Phrae,14-Oct,0,0,1,0,0,0,0,32,73.2,27.5,9.8,43.3,1342.6,126,3
130,2016,Phrae,25-34,0,0,0,0,1,0,0,32,73.2,27.5,9.8,43.3,1342.6,126,3
131,2016,Phrae,35-59,0,0,0,0,0,1,0,48,73.2,27.5,9.8,43.3,1342.6,126,3
132,2016,Phrae,15-24,0,0,0,1,0,0,0,72,73.2,27.5,9.8,43.3,1342.6,126,3
133,2016,Phitsanulok,60,0,0,0,0,0,0,1,42,71.4,28.5,10.0,42.7,1380.9,130,3
134,2016,Mae Hong Son,0-4,1,0,0,0,0,0,0,44,74.6,26.7,10.0,44.6,1119.8,131,1
135,2016,Phitsanulok,0-4,1,0,0,0,0,0,0,44,71.4,28.5,10.0,42.7,1380.9,130,3
136,2016,Mae Hong Son,60,0,0,0,0,0,0,1,138,74.6,26.7,10.0,44.6,1119.8,131,1
137,2016,Phitsanulok,9-May,0,1,0,0,0,0,0,152,71.4,28.5,10.0,42.7,1380.9,130,3
138,2016,Mae Hong Son,9-May,0,1,0,0,0,0,0,158,74.6,26.7,10.0,44.6,1119.8,131,1
139,2016,Chiang Mai,0-4,1,0,0,0,0,0,0,162,70.3,27.3,10.0,42.5,1179.3,135,1
