year,year_num,province,province_num,day_raindrop,quant_rain,humbidity_perc,temp_max,temp_min,temp_avg,dead,dead_perc,patient
2020,5,Leai,55,111,1121.8,69.3,43.4,11.4,27.4,0,0,1256
2020,5,Srisaket,56,98,1572.4,73.4,40.5,14,27.25,0,0,1481
2020,5,Sakonnakorn,57,118,1284.6,71.2,40.5,11.5,26,0,0,1712
2020,5,Songkhla,58,173,2764.2,76.8,36.9,22.8,29.85,1,0.05,1849
2020,5,Satun,59,189,2430.1,78,36.4,20.5,28.45,0,0,539
2020,5,Samutpakarn,60,113,1534.3,74.3,36.5,19.1,27.8,1,0.08,1315
2020,5,Samutsongkarm,61,113,1534.3,74.3,36.5,19.1,27.8,0,0,135
2020,5,Samutsakorn,62,113,1534.3,74.3,36.5,19.1,27.8,1,0.15,667
2020,5,Sakeaw,63,117,1531.2,77.9,40,15.3,27.65,2,0.19,1059
2020,5,Saraburi,64,87,904.4,68.4,36.5,18,27.25,1,0.09,1068
2020,5,Singburi,65,87,904.4,68.4,36.5,18,27.25,4,0.51,790
2020,5,Sukothai,66,85,841.5,74.2,42.5,14.1,28.3,0,0,620
2020,5,Supanburi,67,79,850.8,71.4,41,17.3,29.15,1,0.08,1238
2020,5,Suratthani,68,160,2060.2,82.9,39.5,18.7,29.1,1,0.04,2490
2020,5,Surin,69,110,1391.2,69.4,40.8,11.1,25.95,0,0,2834
2020,5,Nongkai,70,116,1954.6,70.6,41.5,14.2,27.85,1,0.14,733
2020,5,Nongbualumpu,71,107,1121,70.2,43.4,11.4,27.4,0,0,743
2020,5,Angthong,72,87,904.4,68.4,36.5,18,27.25,0,0,997
2020,5,Aumnajjarean,73,111,964.5,68.5,40.6,12.8,26.7,0,0,409
2020,5,Udonthani,74,100,1217.8,69.6,42.5,12.1,27.3,1,0.04,2450
2020,5,Uttaradit,75,86,1086.1,67.5,43,14,28.5,1,0.17,575
2020,5,Uthithani,76,92,803.8,71.4,42.5,15.4,28.95,0,0,621
2020,5,Ubonrachathani,77,111,1595.1,68.5,40.6,14.2,27.4,3,0.14,2092
