year,Province,AgeGroup,ag_0-4,ag_5-9,ag_10-14,ag_15-24,ag_25-34,ag_35-59,ag_60,patient_count,humidity,temp_avg,temp_min,temp_max,rain_ml,rain_day
2016,Nan,25-34,0,0,0,0,1,0,0,68,76.9,26.8,8.3,43.3,1412.7,126
2016,Nan,15-24,0,0,0,1,0,0,0,94,76.9,26.8,8.3,43.3,1412.7,126
2016,Nan,35-59,0,0,0,0,0,1,0,128,76.9,26.8,8.3,43.3,1412.7,126
2016,Buri Ram,60,0,0,0,0,0,0,1,42,76.6,27.4,8.5,43.2,1370.7,93
2016,Buri Ram,25-34,0,0,0,0,1,0,0,94,76.6,27.4,8.5,43.2,1370.7,93
2016,Buri Ram,35-59,0,0,0,0,0,1,0,160,76.6,27.4,8.5,43.2,1370.7,93
2016,Buri Ram,0-4,1,0,0,0,0,0,0,172,76.6,27.4,8.5,43.2,1370.7,93
2016,Buri Ram,15-24,0,0,0,1,0,0,0,256,76.6,27.4,8.5,43.2,1370.7,93
2016,Buri Ram,14-Oct,0,0,1,0,0,0,0,386,76.6,27.4,8.5,43.2,1370.7,93
2016,Buri Ram,9-May,0,1,0,0,0,0,0,390,76.6,27.4,8.5,43.2,1370.7,93
2016,Nong Bua Lam Phu,60,0,0,0,0,0,0,1,10,73.4,27,8.6,39,1541.8,119
2016,Nong Bua Lam Phu,0-4,1,0,0,0,0,0,0,28,73.4,27,8.6,39,1541.8,119
2016,Nong Bua Lam Phu,25-34,0,0,0,0,1,0,0,32,73.4,27,8.6,39,1541.8,119
2016,Nong Bua Lam Phu,35-59,0,0,0,0,0,1,0,46,73.4,27,8.6,39,1541.8,119
2016,Nong Bua Lam Phu,15-24,0,0,0,1,0,0,0,106,73.4,27,8.6,39,1541.8,119
2016,Nong Bua Lam Phu,9-May,0,1,0,0,0,0,0,106,73.4,27,8.6,39,1541.8,119
2016,Nong Bua Lam Phu,14-Oct,0,0,1,0,0,0,0,114,73.4,27,8.6,39,1541.8,119
2016,Nong Khai,60,0,0,0,0,0,0,1,4,72.1,27.5,9.1,42.8,1955,124
2016,Nong Khai,25-34,0,0,0,0,1,0,0,20,72.1,27.5,9.1,42.8,1955,124
2016,Nong Khai,0-4,1,0,0,0,0,0,0,26,72.1,27.5,9.1,42.8,1955,124
2016,Lampang,0-4,1,0,0,0,0,0,0,32,72.9,27.2,9.1,43.5,1096.2,119
2016,Nong Khai,35-59,0,0,0,0,0,1,0,48,72.1,27.5,9.1,42.8,1955,124
2016,Nong Khai,14-Oct,0,0,1,0,0,0,0,80,72.1,27.5,9.1,42.8,1955,124
2016,Nong Khai,9-May,0,1,0,0,0,0,0,82,72.1,27.5,9.1,42.8,1955,124
2016,Lampang,60,0,0,0,0,0,0,1,86,72.9,27.2,9.1,43.5,1096.2,119
2016,Nong Khai,15-24,0,0,0,1,0,0,0,94,72.1,27.5,9.1,42.8,1955,124
2016,Lampang,9-May,0,1,0,0,0,0,0,98,72.9,27.2,9.1,43.5,1096.2,119
2016,Lampang,14-Oct,0,0,1,0,0,0,0,204,72.9,27.2,9.1,43.5,1096.2,119
2016,Lampang,25-34,0,0,0,0,1,0,0,300,72.9,27.2,9.1,43.5,1096.2,119
2016,Lampang,35-59,0,0,0,0,0,1,0,324,72.9,27.2,9.1,43.5,1096.2,119
2016,Lampang,15-24,0,0,0,1,0,0,0,452,72.9,27.2,9.1,43.5,1096.2,119
2016,Lamphun,0-4,1,0,0,0,0,0,0,16,72,27.2,9.2,44,1313.4,117
2016,Tak,60,0,0,0,0,0,0,1,52,67.7,28.4,9.2,43.8,1150.5,130
2016,Lamphun,60,0,0,0,0,0,0,1,68,72,27.2,9.2,44,1313.4,117
2016,Tak,0-4,1,0,0,0,0,0,0,74,67.7,28.4,9.2,43.8,1150.5,130
2016,Lamphun,9-May,0,1,0,0,0,0,0,94,72,27.2,9.2,44,1313.4,117
2016,Lamphun,14-Oct,0,0,1,0,0,0,0,146,72,27.2,9.2,44,1313.4,117
2016,Lamphun,25-34,0,0,0,0,1,0,0,172,72,27.2,9.2,44,1313.4,117
2016,Tak,9-May,0,1,0,0,0,0,0,190,67.7,28.4,9.2,43.8,1150.5,130
2016,Tak,25-34,0,0,0,0,1,0,0,218,67.7,28.4,9.2,43.8,1150.5,130
2016,Tak,35-59,0,0,0,0,0,1,0,250,67.7,28.4,9.2,43.8,1150.5,130
2016,Lamphun,15-24,0,0,0,1,0,0,0,282,72,27.2,9.2,44,1313.4,117
2016,Tak,14-Oct,0,0,1,0,0,0,0,282,67.7,28.4,9.2,43.8,1150.5,130
2016,Lamphun,35-59,0,0,0,0,0,1,0,294,72,27.2,9.2,44,1313.4,117
2016,Tak,15-24,0,0,0,1,0,0,0,342,67.7,28.4,9.2,43.8,1150.5,130
2016,Khon Kaen,60,0,0,0,0,0,0,1,32,71.3,27.7,9.5,42.4,1368.1,124
2016,Maha Sarakham,60,0,0,0,0,0,0,1,34,71.9,28.2,9.5,42.5,1728.9,106
2016,Phetchabun,60,0,0,0,0,0,0,1,72,71.5,28.2,9.5,43.3,1039.2,119
2016,Maha Sarakham,25-34,0,0,0,0,1,0,0,82,71.9,28.2,9.5,42.5,1728.9,106
2016,Phetchabun,0-4,1,0,0,0,0,0,0,108,71.5,28.2,9.5,43.3,1039.2,119
2016,Maha Sarakham,0-4,1,0,0,0,0,0,0,110,71.9,28.2,9.5,42.5,1728.9,106
2016,Maha Sarakham,35-59,0,0,0,0,0,1,0,120,71.9,28.2,9.5,42.5,1728.9,106
2016,Khon Kaen,0-4,1,0,0,0,0,0,0,134,71.3,27.7,9.5,42.4,1368.1,124
2016,Khon Kaen,25-34,0,0,0,0,1,0,0,164,71.3,27.7,9.5,42.4,1368.1,124
2016,Khon Kaen,35-59,0,0,0,0,0,1,0,172,71.3,27.7,9.5,42.4,1368.1,124
2016,Maha Sarakham,14-Oct,0,0,1,0,0,0,0,234,71.9,28.2,9.5,42.5,1728.9,106
2016,Phetchabun,9-May,0,1,0,0,0,0,0,264,71.5,28.2,9.5,43.3,1039.2,119
2016,Phetchabun,25-34,0,0,0,0,1,0,0,292,71.5,28.2,9.5,43.3,1039.2,119
2016,Maha Sarakham,9-May,0,1,0,0,0,0,0,294,71.9,28.2,9.5,42.5,1728.9,106
2016,Khon Kaen,9-May,0,1,0,0,0,0,0,304,71.3,27.7,9.5,42.4,1368.1,124
2016,Phetchabun,35-59,0,0,0,0,0,1,0,304,71.5,28.2,9.5,43.3,1039.2,119
2016,Phetchabun,14-Oct,0,0,1,0,0,0,0,316,71.5,28.2,9.5,43.3,1039.2,119
2016,Khon Kaen,14-Oct,0,0,1,0,0,0,0,358,71.3,27.7,9.5,42.4,1368.1,124
2016,Maha Sarakham,15-24,0,0,0,1,0,0,0,358,71.9,28.2,9.5,42.5,1728.9,106
2016,Khon Kaen,15-24,0,0,0,1,0,0,0,436,71.3,27.7,9.5,42.4,1368.1,124
2016,Phetchabun,15-24,0,0,0,1,0,0,0,436,71.5,28.2,9.5,43.3,1039.2,119
2016,Phrae,0-4,1,0,0,0,0,0,0,10,73.2,27.5,9.8,43.3,1342.6,126
2016,Phrae,60,0,0,0,0,0,0,1,14,73.2,27.5,9.8,43.3,1342.6,126
2016,Phrae,9-May,0,1,0,0,0,0,0,26,73.2,27.5,9.8,43.3,1342.6,126
2016,Phrae,14-Oct,0,0,1,0,0,0,0,32,73.2,27.5,9.8,43.3,1342.6,126
2016,Phrae,25-34,0,0,0,0,1,0,0,32,73.2,27.5,9.8,43.3,1342.6,126
2016,Phrae,35-59,0,0,0,0,0,1,0,48,73.2,27.5,9.8,43.3,1342.6,126
2016,Phrae,15-24,0,0,0,1,0,0,0,72,73.2,27.5,9.8,43.3,1342.6,126
2016,Phitsanulok,60,0,0,0,0,0,0,1,42,71.4,28.5,10,42.7,1380.9,130
2016,Mae Hong Son,0-4,1,0,0,0,0,0,0,44,74.6,26.7,10,44.6,1119.8,131
2016,Phitsanulok,0-4,1,0,0,0,0,0,0,44,71.4,28.5,10,42.7,1380.9,130
2016,Mae Hong Son,60,0,0,0,0,0,0,1,138,74.6,26.7,10,44.6,1119.8,131
2016,Phitsanulok,9-May,0,1,0,0,0,0,0,152,71.4,28.5,10,42.7,1380.9,130
2016,Mae Hong Son,9-May,0,1,0,0,0,0,0,158,74.6,26.7,10,44.6,1119.8,131
2016,Chiang Mai,0-4,1,0,0,0,0,0,0,162,70.3,27.3,10,42.5,1179.3,135
2016,Phitsanulok,25-34,0,0,0,0,1,0,0,174,71.4,28.5,10,42.7,1380.9,130
2016,Phitsanulok,14-Oct,0,0,1,0,0,0,0,204,71.4,28.5,10,42.7,1380.9,130
2016,Phitsanulok,35-59,0,0,0,0,0,1,0,224,71.4,28.5,10,42.7,1380.9,130
2016,Mae Hong Son,14-Oct,0,0,1,0,0,0,0,298,74.6,26.7,10,44.6,1119.8,131
2016,Phitsanulok,15-24,0,0,0,1,0,0,0,306,71.4,28.5,10,42.7,1380.9,130
2016,Chiang Mai,9-May,0,1,0,0,0,0,0,374,70.3,27.3,10,42.5,1179.3,135
2016,Mae Hong Son,25-34,0,0,0,0,1,0,0,442,74.6,26.7,10,44.6,1119.8,131
2016,Mae Hong Son,15-24,0,0,0,1,0,0,0,488,74.6,26.7,10,44.6,1119.8,131
2016,Chiang Mai,14-Oct,0,0,1,0,0,0,0,660,70.3,27.3,10,42.5,1179.3,135
2016,Mae Hong Son,35-59,0,0,0,0,0,1,0,700,74.6,26.7,10,44.6,1119.8,131
2016,Chiang Mai,60,0,0,0,0,0,0,1,728,70.3,27.3,10,42.5,1179.3,135
2016,Chiang Mai,15-24,0,0,0,1,0,0,0,2114,70.3,27.3,10,42.5,1179.3,135
2016,Chiang Mai,25-34,0,0,0,0,1,0,0,2276,70.3,27.3,10,42.5,1179.3,135
2016,Chiang Mai,35-59,0,0,0,0,0,1,0,3194,70.3,27.3,10,42.5,1179.3,135
2016,Uttaradit,0-4,1,0,0,0,0,0,0,8,68.1,28.5,10.4,43.6,1355.8,112
2016,Uttaradit,60,0,0,0,0,0,0,1,20,68.1,28.5,10.4,43.6,1355.8,112
2016,Uttaradit,9-May,0,1,0,0,0,0,0,30,68.1,28.5,10.4,43.6,1355.8,112
2016,Nakhon Sawan,60,0,0,0,0,0,0,1,44,71.4,29.1,10.4,43.7,1538.8,130
2016,Uttaradit,14-Oct,0,0,1,0,0,0,0,70,68.1,28.5,10.4,43.6,1355.8,112
2016,Uttaradit,35-59,0,0,0,0,0,1,0,72,68.1,28.5,10.4,43.6,1355.8,112
2016,Uttaradit,25-34,0,0,0,0,1,0,0,84,68.1,28.5,10.4,43.6,1355.8,112
2016,Nakhon Sawan,0-4,1,0,0,0,0,0,0,94,71.4,29.1,10.4,43.7,1538.8,130
2016,Nakhon Sawan,25-34,0,0,0,0,1,0,0,172,71.4,29.1,10.4,43.7,1538.8,130
2016,Nakhon Sawan,35-59,0,0,0,0,0,1,0,180,71.4,29.1,10.4,43.7,1538.8,130
2016,Uttaradit,15-24,0,0,0,1,0,0,0,182,68.1,28.5,10.4,43.6,1355.8,112
2016,Nakhon Sawan,9-May,0,1,0,0,0,0,0,188,71.4,29.1,10.4,43.7,1538.8,130
2016,Nakhon Sawan,14-Oct,0,0,1,0,0,0,0,192,71.4,29.1,10.4,43.7,1538.8,130
2016,Nakhon Sawan,15-24,0,0,0,1,0,0,0,366,71.4,29.1,10.4,43.7,1538.8,130
2016,Kamphaeng Phet,60,0,0,0,0,0,0,1,12,70.2,28.5,10.5,44,1168.9,125
2016,Kamphaeng Phet,0-4,1,0,0,0,0,0,0,20,70.2,28.5,10.5,44,1168.9,125
2016,Mukdahan,60,0,0,0,0,0,0,1,30,70.5,27.6,10.5,42.3,1307.7,115
2016,Mukdahan,60,0,0,0,0,0,0,1,30,70.5,27.6,10.5,42.3,1307.7,115
2016,Kamphaeng Phet,35-59,0,0,0,0,0,1,0,44,70.2,28.5,10.5,44,1168.9,125
2016,Mukdahan,0-4,1,0,0,0,0,0,0,48,70.5,27.6,10.5,42.3,1307.7,115
2016,Mukdahan,0-4,1,0,0,0,0,0,0,48,70.5,27.6,10.5,42.3,1307.7,115
2016,Kamphaeng Phet,25-34,0,0,0,0,1,0,0,50,70.2,28.5,10.5,44,1168.9,125
2016,Kamphaeng Phet,9-May,0,1,0,0,0,0,0,62,70.2,28.5,10.5,44,1168.9,125
2016,Kamphaeng Phet,14-Oct,0,0,1,0,0,0,0,64,70.2,28.5,10.5,44,1168.9,125
2016,Kamphaeng Phet,15-24,0,0,0,1,0,0,0,100,70.2,28.5,10.5,44,1168.9,125
2016,Mukdahan,9-May,0,1,0,0,0,0,0,124,70.5,27.6,10.5,42.3,1307.7,115
2016,Mukdahan,9-May,0,1,0,0,0,0,0,124,70.5,27.6,10.5,42.3,1307.7,115
2016,Mukdahan,35-59,0,0,0,0,0,1,0,136,70.5,27.6,10.5,42.3,1307.7,115
2016,Mukdahan,35-59,0,0,0,0,0,1,0,136,70.5,27.6,10.5,42.3,1307.7,115
2016,Mukdahan,25-34,0,0,0,0,1,0,0,138,70.5,27.6,10.5,42.3,1307.7,115
2016,Mukdahan,25-34,0,0,0,0,1,0,0,138,70.5,27.6,10.5,42.3,1307.7,115
2016,Mukdahan,14-Oct,0,0,1,0,0,0,0,164,70.5,27.6,10.5,42.3,1307.7,115
2016,Mukdahan,14-Oct,0,0,1,0,0,0,0,164,70.5,27.6,10.5,42.3,1307.7,115
2016,Mukdahan,15-24,0,0,0,1,0,0,0,246,70.5,27.6,10.5,42.3,1307.7,115
2016,Mukdahan,15-24,0,0,0,1,0,0,0,246,70.5,27.6,10.5,42.3,1307.7,115
2016,Phichit,60,0,0,0,0,0,0,1,26,73.3,28.7,10.7,42.3,1170,130
2016,Phichit,0-4,1,0,0,0,0,0,0,46,73.3,28.7,10.7,42.3,1170,130
2016,Phichit,9-May,0,1,0,0,0,0,0,86,73.3,28.7,10.7,42.3,1170,130
2016,Phichit,25-34,0,0,0,0,1,0,0,94,73.3,28.7,10.7,42.3,1170,130
