year,Province,AgeGroup,ag_0-4,ag_5-9,ag_10-14,ag_15-24,ag_25-34,ag_35-59,ag_60,patient_count
2016,Kamphaeng Phet,5-9,0,1,0,0,0,0,0,62
2016,Kamphaeng Phet,60,0,0,0,0,0,0,1,12
2016,Kanchanaburi,0-4,1,0,0,0,0,0,0,38
2016,Kanchanaburi,10-14,0,0,1,0,0,0,0,52
2016,Kanchanaburi,15-24,0,0,0,1,0,0,0,102
2016,Kanchanaburi,25-34,0,0,0,0,1,0,0,50
2016,Kanchanaburi,35-59,0,0,0,0,0,1,0,62
2016,Kanchanaburi,5-9,0,1,0,0,0,0,0,72
2016,Kanchanaburi,60,0,0,0,0,0,0,1,16
2016,Khon Kaen,0-4,1,0,0,0,0,0,0,134
2016,Khon Kaen,10-14,0,0,1,0,0,0,0,358
2016,Khon Kaen,15-24,0,0,0,1,0,0,0,436
2016,Khon Kaen,25-34,0,0,0,0,1,0,0,164
2016,Khon Kaen,35-59,0,0,0,0,0,1,0,172
2016,Khon Kaen,5-9,0,1,0,0,0,0,0,304
2016,Khon Kaen,60,0,0,0,0,0,0,1,32
2016,Krabi,0-4,1,0,0,0,0,0,0,108
2016,Krabi,10-14,0,0,1,0,0,0,0,208
2016,Krabi,15-24,0,0,0,1,0,0,0,290
2016,Krabi,25-34,0,0,0,0,1,0,0,170
2016,Krabi,35-59,0,0,0,0,0,1,0,166
2016,Krabi,5-9,0,1,0,0,0,0,0,150
2016,Krabi,60,0,0,0,0,0,0,1,36
2016,Lampang,0-4,1,0,0,0,0,0,0,32
2016,Lampang,10-14,0,0,1,0,0,0,0,204
2016,Lampang,15-24,0,0,0,1,0,0,0,452
2016,Lampang,25-34,0,0,0,0,1,0,0,300
2016,Lampang,35-59,0,0,0,0,0,1,0,324
2016,Lampang,5-9,0,1,0,0,0,0,0,98
2016,Lampang,60,0,0,0,0,0,0,1,86
2016,Lamphun,0-4,1,0,0,0,0,0,0,16
2016,Lamphun,10-14,0,0,1,0,0,0,0,146
2016,Lamphun,15-24,0,0,0,1,0,0,0,282
2016,Lamphun,25-34,0,0,0,0,1,0,0,172
2016,Lamphun,35-59,0,0,0,0,0,1,0,294
2016,Lamphun,5-9,0,1,0,0,0,0,0,94
2016,Lamphun,60,0,0,0,0,0,0,1,68
2016,Loei,0-4,1,0,0,0,0,0,0,42
2016,Loei,10-14,0,0,1,0,0,0,0,240
2016,Loei,15-24,0,0,0,1,0,0,0,374
2016,Loei,25-34,0,0,0,0,1,0,0,194
2016,Loei,35-59,0,0,0,0,0,1,0,290
2016,Loei,5-9,0,1,0,0,0,0,0,174
2016,Loei,60,0,0,0,0,0,0,1,62
2016,Lop Buri,0-4,1,0,0,0,0,0,0,134
2016,Lop Buri,10-14,0,0,1,0,0,0,0,200
2016,Lop Buri,15-24,0,0,0,1,0,0,0,148
2016,Lop Buri,25-34,0,0,0,0,1,0,0,66
2016,Lop Buri,35-59,0,0,0,0,0,1,0,82
2016,Lop Buri,5-9,0,1,0,0,0,0,0,220
2016,Lop Buri,60,0,0,0,0,0,0,1,20
2016,Mae Hong Son,0-4,1,0,0,0,0,0,0,44
2016,Mae Hong Son,10-14,0,0,1,0,0,0,0,298
2016,Mae Hong Son,15-24,0,0,0,1,0,0,0,488
2016,Mae Hong Son,25-34,0,0,0,0,1,0,0,442
2016,Mae Hong Son,35-59,0,0,0,0,0,1,0,700
2016,Mae Hong Son,5-9,0,1,0,0,0,0,0,158
2016,Mae Hong Son,60,0,0,0,0,0,0,1,138
2016,Maha Sarakham,0-4,1,0,0,0,0,0,0,110
2016,Maha Sarakham,10-14,0,0,1,0,0,0,0,234
2016,Maha Sarakham,15-24,0,0,0,1,0,0,0,358
2016,Maha Sarakham,25-34,0,0,0,0,1,0,0,82
2016,Maha Sarakham,35-59,0,0,0,0,0,1,0,120
2016,Maha Sarakham,5-9,0,1,0,0,0,0,0,294
2016,Maha Sarakham,60,0,0,0,0,0,0,1,34
2016,Mukdahan,0-4,1,0,0,0,0,0,0,48
2016,Mukdahan,10-14,0,0,1,0,0,0,0,164
2016,Mukdahan,15-24,0,0,0,1,0,0,0,246
2016,Mukdahan,25-34,0,0,0,0,1,0,0,138
2016,Mukdahan,35-59,0,0,0,0,0,1,0,136
2016,Mukdahan,5-9,0,1,0,0,0,0,0,124
2016,Mukdahan,60,0,0,0,0,0,0,1,30
2016,Nakhon Nayok,0-4,1,0,0,0,0,0,0,14
2016,Nakhon Nayok,10-14,0,0,1,0,0,0,0,22
2016,Nakhon Nayok,15-24,0,0,0,1,0,0,0,42
2016,Nakhon Nayok,25-34,0,0,0,0,1,0,0,26
2016,Nakhon Nayok,35-59,0,0,0,0,0,1,0,20
2016,Nakhon Nayok,5-9,0,1,0,0,0,0,0,28
